"","SID","Session","Block","Trial","Sequence","Stimt-2","Stimt-1","Stimt","RT","Response","Delay","post_reversal","Result","Trial_Number","Correct","log_RT","inverse_RT","post_error"
"171",1033,1,2,51,"High Prob","4","3","2",0.4328618,2,0.3,"0","Correct",171,1,-0.837336770516006,2.31020616741879,"0"
"172",1033,1,2,52,"Low Prob","3","2","3",0.4322742,3,0.35,"0","Correct",172,1,-0.838695169866757,2.31334648239474,"0"
"173",1033,1,2,53,"High Prob","2","3","1",0.4356252,1,0.25,"0","Correct",173,1,-0.830973038356981,2.29555131337673,"0"
"174",1033,1,2,54,"High Prob","3","1","2",0.4510347,2,0.35,"0","Correct",174,1,-0.796211002306161,2.21712431438202,"0"
"175",1033,1,2,55,"Low Prob","1","2","4",0.3977422,4,0.45,"0","Correct",175,1,-0.921951222264508,2.51419135309253,"0"
"176",1033,1,2,56,"High Prob","2","4","1",0.6051422,1,0.4,"0","Correct",176,1,-0.502291807246866,1.6525041552217,"0"
"177",1033,1,2,57,"High Prob","4","1","3",0.4838892,3,0.4,"0","Correct",177,1,-0.72589932409281,2.06658879760077,"0"
"178",1033,1,2,58,"Low Prob","1","3","2",0.3192626,2,0.4,"0","Correct",178,1,-1.14174131734635,3.13221780440302,"0"
"179",1033,1,2,59,"High Prob","3","2","4",0.4572837,4,0.2,"0","Correct",179,1,-0.782451292950766,2.18682625249927,"0"
"180",1033,1,2,60,"Low Prob","2","4","3",0.4940294,3,0.6,"0","Correct",180,1,-0.705160249395072,2.02417103111677,"0"
"181",1033,1,2,61,"High Prob","4","3","2",0.3974085,2,0.3,"0","Correct",181,1,-0.922790560064476,2.51630249478811,"0"
"182",1033,1,2,62,"High Prob","3","2","4",0.5307752,4,0.25,"0","Correct",182,1,-0.633416699544751,1.88403678242691,"0"
"183",1033,1,2,63,"Low Prob","2","4","3",0.3128626,3,0.5,"0","Correct",183,1,-1.16199116245666,3.1962912793028,"0"
"184",1033,1,2,64,"High Prob","4","3","2",NA,2,0.25,"0","Correct",184,1,NA,NA,"0"
"185",1033,1,2,65,"Low Prob","3","2","3",0.4236241,4,0.35,"0","Wrong",185,0,-0.858908773577686,2.36058335680147,"0"
"186",1033,1,2,66,"High Prob","2","3","1",0.5136866,1,0.5,"0","Correct",186,1,-0.666141927112914,1.94671225607209,"1"
"187",1033,1,2,67,"High Prob","3","1","2",0.3244262,2,0.6,"0","Correct",187,1,-1.12569719551387,3.08236511107919,"0"
"188",1033,1,2,68,"High Prob","1","2","1",0.4004741,1,0.55,"0","Correct",188,1,-0.915106183728409,2.49704038288618,"0"
"189",1033,1,2,69,"Low Prob","2","1","3",0.4391523,3,0.6,"0","Correct",189,1,-0.822909001242312,2.27711434051467,"0"
"190",1033,1,2,70,"High Prob","1","3","4",0.4125622,4,0.6,"0","Correct",190,1,-0.885368296695963,2.42387693298126,"0"
"191",1033,1,2,71,"High Prob","3","4","2",0.3253317,2,0.55,"0","Correct",191,1,-1.12291000174156,3.07378592372031,"0"
"192",1033,1,2,72,"High Prob","4","2","3",0.4953681,3,0.2,"0","Correct",192,1,-0.702454156410332,2.01870084084946,"0"
"193",1033,1,2,73,"High Prob","2","3","1",0.4827443,1,0.2,"0","Correct",193,1,-0.728268165096923,2.0714900207004,"0"
"194",1033,1,2,74,"Low Prob","3","1","4",0.5481381,4,0.25,"0","Correct",194,1,-0.601228016483357,1.82435776677447,"0"
"195",1033,1,2,75,"High Prob","1","4","3",0.4029071,3,0.25,"0","Correct",195,1,-0.909049264701336,2.48196172268992,"0"
"196",1033,1,2,76,"High Prob","4","3","2",0.4375556,2,0.3,"0","Correct",196,1,-0.826551495544887,2.28542384099301,"0"
"197",1033,1,2,77,"Low Prob","3","2","3",0.4229911,3,0.3,"0","Correct",197,1,-0.860404140346332,2.36411593529982,"0"
"198",1033,1,2,78,"High Prob","2","3","1",0.2889881,1,0.5,"0","Correct",198,1,-1.24136976818807,3.46035009746076,"0"
