Block	Trial	Sequence	NumA	NumB	NumC	RT	Response	Delay
4	5	A	3	2	4	2.90E-01	4	2.50E-01
4	6	A	2	4	1	2.58E-01	1	6.00E-01
4	7	A	4	1	3	3.93E-01	3	4.50E-01
4	8	A	1	3	4	3.46E-01	4	3.00E-01
4	9	A	3	4	2	2.55E-01	2	2.00E-01
4	10	A	4	2	3	2.85E-01	3	3.50E-01
4	11	A	2	3	1	2.89E-01	1	4.00E-01
4	12	A	3	1	2	3.28E-01	2	3.00E-01
4	13	A	1	2	1	3.21E-01	1	6.00E-01
4	14	B	2	1	3	2.95E-01	3	3.50E-01
4	15	A	1	3	4	3.28E-01	4	5.00E-01
4	16	A	3	4	2	2.66E-01	2	3.00E-01
4	17	A	4	2	3	2.76E-01	3	4.50E-01
4	18	B	2	3	4	3.12E-01	4	4.00E-01
4	19	A	3	4	2	2.46E-01	2	2.50E-01
4	20	A	4	2	3	3.21E-01	3	3.00E-01
4	21	A	2	3	1	2.66E-01	1	6.00E-01
4	22	A	3	1	2	2.79E-01	2	5.00E-01
4	23	A	1	2	1	3.77E-01	1	4.00E-01
4	24	A	2	1	4	2.59E-01	4	4.50E-01
4	25	A	1	4	3	2.90E-01	3	2.50E-01
4	26	A	4	3	2	2.91E-01	2	4.50E-01
4	27	A	3	2	4	3.04E-01	4	3.50E-01
4	28	A	2	4	1	3.65E-01	1	2.50E-01
4	29	A	4	1	3	2.65E-01	3	3.50E-01
4	30	A	1	3	4	2.54E-01	4	4.50E-01
4	31	A	3	4	2	2.72E-01	2	4.50E-01
4	32	A	4	2	3	3.81E-01	3	2.50E-01
4	33	A	2	3	1	2.51E-01	1	4.00E-01
4	34	A	3	1	2	3.01E-01	2	6.00E-01
4	35	A	1	2	1	3.48E-01	1	2.00E-01
4	36	A	2	1	4	2.52E-01	4	5.00E-01
4	37	A	1	4	3	3.20E-01	3	5.50E-01
4	38	B	4	3	1	3.42E-01	1	3.00E-01
4	39	A	3	1	2	3.08E-01	2	4.50E-01
4	40	A	1	2	1	3.57E-01	2	5.50E-01
4	41	A	2	1	4	3.00E-01	4	2.00E-01
4	42	A	1	4	3	3.85E-01	3	6.00E-01
4	43	A	4	3	2	2.54E-01	2	5.50E-01
4	44	A	3	2	4	3.05E-01	4	2.00E-01
4	45	A	2	4	1	3.47E-01	1	2.00E-01
4	46	A	4	1	3	2.93E-01	3	2.50E-01
