,SID,Session,Block,Trial,Sequence,t-2,t-1,t,RT,Response,Delay,Result,Trial_Number,Correct,cutoff,log_RT,inverse_RT,post_error
175,1005,Baseline,2,59,High Prob,3,2,4,0.4201011,4,0.55,Correct,179,1,0.553885676,-0.867259882,2.38037939,0
176,1005,Baseline,2,60,Low Prob,2,4,3,0.470148,3,0.3,Correct,180,1,0.581374264,-0.75470774,2.126989799,0
177,1005,Baseline,2,61,High Prob,4,3,2,0.3761907,2,0.25,Correct,181,1,0.553885676,-0.977659083,2.658226267,0
178,1005,Baseline,2,62,High Prob,3,2,4,0.5182207,4,0.45,Correct,182,1,0.553885676,-0.657354066,1.929679768,0
179,1005,Baseline,2,63,Low Prob,2,4,3,0.4883744,3,0.6,Correct,183,1,0.581374264,-0.716672954,2.047609375,0
180,1005,Baseline,2,64,High Prob,4,3,2,0.2856838,2,0.55,Correct,184,1,0.553885676,-1.252869674,3.50037349,0
181,1005,Baseline,2,65,Low Prob,3,2,3,0.4850945,3,0.3,Correct,185,1,0.581374264,-0.723411562,2.061454005,0
182,1005,Baseline,2,66,High Prob,2,3,1,0.286493,1,0.45,Correct,186,1,0.553885676,-1.250041176,3.490486679,0
183,1005,Baseline,2,67,High Prob,3,1,2,0.2878749,2,0.45,Correct,187,1,0.553885676,-1.245229268,3.473731124,0
184,1005,Baseline,2,68,High Prob,1,2,1,0.413271,1,0.55,Correct,188,1,0.553885676,-0.883651727,2.419719748,0
185,1005,Baseline,2,69,Low Prob,2,1,3,0.4119865,3,0.4,Correct,189,1,0.581374264,-0.886764697,2.427264,0
186,1005,Baseline,2,70,High Prob,1,3,4,0.3007037,4,0.35,Correct,190,1,0.553885676,-1.201629884,3.325532742,0
187,1005,Baseline,2,71,High Prob,3,4,2,0.3133953,2,0.55,Correct,191,1,0.553885676,-1.160289946,3.190858319,0
188,1005,Baseline,2,72,High Prob,4,2,3,0.4221181,3,0.55,Correct,192,1,0.553885676,-0.862470146,2.369005262,0
189,1005,Baseline,2,73,High Prob,2,3,1,0.4721755,1,0.3,Correct,193,1,0.553885676,-0.75040454,2.117856602,0
190,1005,Baseline,2,74,Low Prob,3,1,4,0.3102137,4,0.35,Correct,194,1,0.581374264,-1.170493864,3.223584258,0
191,1005,Baseline,2,75,High Prob,1,4,3,0.3949488,3,0.35,Correct,195,1,0.553885676,-0.928999143,2.531973765,0
192,1005,Baseline,2,76,High Prob,4,3,2,0.4183473,2,0.2,Correct,196,1,0.553885676,-0.87144333,2.390358441,0
193,1005,Baseline,2,77,Low Prob,3,2,3,0.5063752,3,0.55,Correct,197,1,0.581374264,-0.680477382,1.974820252,0
194,1005,Baseline,2,78,High Prob,2,3,1,0.3332014,1,0.2,Correct,198,1,0.553885676,-1.099008167,3.00118787,0
195,1005,Baseline,2,79,Low Prob,3,1,4,0.3165301,4,0.45,Correct,199,1,0.581374264,-1.150336939,3.159257208,0
196,1005,Baseline,2,80,High Prob,1,4,3,0.3905605,3,0.2,Correct,200,1,0.553885676,-0.940172392,2.560422777,0
197,1005,Baseline,2,81,High Prob,4,3,2,0.4039542,2,0.45,Correct,201,1,0.553885676,-0.906453774,2.475528166,0
198,1005,Baseline,2,82,High Prob,3,2,4,0.322663,4,0.4,Correct,202,1,0.553885676,-1.131146844,3.099208772,0
199,1005,Baseline,2,83,High Prob,2,4,1,0.2547279,1,0.55,Correct,203,1,0.553885676,-1.367559362,3.925757642,0
200,1005,Baseline,2,84,High Prob,4,1,3,0.4094489,3,0.25,Correct,204,1,0.553885676,-0.89294317,2.442307209,0
201,1005,Baseline,2,85,High Prob,1,3,4,0.3601562,4,0.4,Correct,205,1,0.553885676,-1.021217453,2.776573054,0
202,1005,Baseline,2,86,High Prob,3,4,2,0.3388777,1,0.55,Wrong,206,0,0.461059365,-1.082116004,2.950917101,1
203,1005,Baseline,2,88,High Prob,2,3,1,0.3763327,1,0.5,Correct,208,1,0.553885676,-0.977281686,2.65722325,0
204,1005,Baseline,2,89,High Prob,3,1,2,0.3963929,2,0.3,Correct,209,1,0.553885676,-0.925349388,2.522749525,0
205,1005,Baseline,2,90,High Prob,1,2,1,0.4337607,1,0.25,Correct,210,1,0.553885676,-0.835262279,2.305418633,0
